Station 501;;
1 jan 2015 - 22 nov 2015;;
per uur;;
;;
timestamp;evenrate;pressure
;[events/hour];[hPa]
1422244800;2311;1019
1422248400;2265;1019
1422252000;2338;1018
1422255600;2285;1018
1422259200;2173;1017
1422262800;2351;1017
1422266400;2393;1016
1422270000;2341;1016
1422273600;2306;1015
1422277200;2370;1015
1422280800;2313;1015
1422284400;2238;1016
1422288000;2278;1017
1422291600;2260;1017
1422295200;2338;1018
1422298800;2259;1018
1422302400;2305;1018
1422306000;2314;1019
1422309600;2241;1019
1422313200;2304;1020
1422316800;2253;1020
1422320400;2293;1020
1422324000;2238;1020
1422327600;2320;1020
1422331200;2314;1021
1422334800;2296;1021
1422338400;2172;1021
1422342000;2350;1021
1422345600;2237;1021
1422349200;2200;1021
1422352800;2302;1021
1422356400;2312;1022
1422360000;2262;1021
1422363600;2296;1021
1422367200;2302;1021
1422370800;2265;1020
1422374400;2258;1021
1422378000;2340;1021
1422381600;2286;1021
1422385200;2255;1020
1422388800;2277;1020
1422392400;2244;1019
1422396000;2236;1019
1422399600;2307;1017
1422403200;2269;1017
1422406800;2238;1016
1422410400;2432;1014
1422414000;2349;1013
1422417600;2390;1011
1422421200;2394;1010
1422424800;2478;1009
1422428400;2444;1007
1422432000;2460;1006
1422435600;2582;1004
1422439200;2547;1001
1422442800;2598;999
1422446400;2638;997
1422450000;2699;994
1422453600;2758;992
1422457200;2740;993
1422460800;2705;993
1422464400;2663;993
1422468000;2735;994
1422471600;2647;994
1422475200;2699;994
1422478800;2593;994
1422482400;2726;994
1422486000;2698;992
1422489600;2691;992
1422493200;2829;991
1422496800;2719;991
1422500400;2768;989
1422504000;2762;988
1422507600;2817;987
1422511200;2814;986
1422514800;2777;986
1422518400;2884;985
1422522000;2799;984
1422525600;2814;983
1422529200;2839;982
1422532800;2855;980
1422536400;3034;979
1422540000;3007;977
1422543600;3015;976
1422547200;2999;975
1422550800;3126;974
1422554400;3001;972
1422558000;2999;971
1422561600;3088;971
1422565200;3101;970
1422568800;3062;970
1422572400;2994;970
1422576000;3054;970
1422579600;2971;971
1422583200;3019;971
1422586800;2963;972
1422590400;3081;972
1422594000;2942;973
1422597600;2968;973
1422601200;2978;974
1422604800;3045;975
1422608400;2942;975
1422612000;2991;975
1422615600;2876;975
1422619200;2964;975
1422622800;2899;975
1422626400;2983;974
1422630000;3029;975
1422633600;2976;975
1422637200;2965;975
1422640800;3041;974
1422644400;3042;974
1422648000;3036;974
1422651600;2980;974
1422655200;2963;974
1422658800;2994;975
1422662400;2904;975
1422666000;3018;975
1422669600;2928;975
1422673200;2891;976
1422676800;3033;976
1422680400;2985;976
1422684000;2852;977
1422687600;2923;977
1422691200;2922;978
1422694800;2832;978
1422698400;2825;978
1422702000;2945;979
1422705600;2868;979
1422709200;2785;980
1422712800;2928;980
1422716400;2893;980
1422720000;2830;981
1422723600;2876;982
1422727200;2910;982
1422730800;2890;983
1422734400;2847;983
1422738000;2753;983
1422741600;2771;983
1422745200;2824;983
1422748800;2888;983
1422752400;2851;984
1422756000;2843;983
1422759600;2835;983
1422763200;2817;983
1422766800;2821;984
1422770400;2836;984
1422774000;2833;984
1422777600;2734;984
1422781200;2847;985
1422784800;2665;986
1422788400;2760;987
